URL,Unique ID,Primary material,Manufacture method,Image URL,Saved Image
https://finds.org.uk/database/artefacts/record/id/940521,PUBLIC-AD072E,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICAD072ERomanRadiateClaudiusII26870Jupiter.jpg,Fotos_monedas\PUBLIC-AD072E.jpg
https://finds.org.uk/database/artefacts/record/id/937872,PUBLIC-5BDAA9,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC5BDAA9RomannummusConstantineIIBEATATRANQVILLITAS.jpg,Fotos_monedas\PUBLIC-5BDAA9.jpg
https://finds.org.uk/database/artefacts/record/id/933864,BH-75AD4B,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH75AD4B.jpg,Fotos_monedas\BH-75AD4B.jpg
https://finds.org.uk/database/artefacts/record/id/931183,LON-266A4E,Silver,Struck or hammered,https://finds.org.uk/images/stuartwyatt/medium/LON266A4EFaustina.jpg,Fotos_monedas\LON-266A4E.jpg
https://finds.org.uk/database/artefacts/record/id/931147,LON-25743A,Copper alloy,Struck or hammered,https://finds.org.uk/images/stuartwyatt/medium/LON25743Adupo.jpg,Fotos_monedas\LON-25743A.jpg
https://finds.org.uk/database/artefacts/record/id/931008,BH-12199A,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH12199A.jpg,Fotos_monedas\BH-12199A.jpg
https://finds.org.uk/database/artefacts/record/id/930718,BH-FC4B2A,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHFC4B2A.jpg,Fotos_monedas\BH-FC4B2A.jpg
https://finds.org.uk/database/artefacts/record/id/930640,BH-F9EB6D,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF9EB6D.jpg,Fotos_monedas\BH-F9EB6D.jpg
https://finds.org.uk/database/artefacts/record/id/927898,BH-6C3332,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH6C3332.jpg,Fotos_monedas\BH-6C3332.jpg
https://finds.org.uk/database/artefacts/record/id/923875,PUBLIC-72BDB4,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC72BDB4RomanHouseofConstantineAD348350incomplete.jpg,Fotos_monedas\PUBLIC-72BDB4.jpg
https://finds.org.uk/database/artefacts/record/id/923543,PUBLIC-1F1AC6,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC1F1AC6BronzeradiateCarausiusPax28693.jpg,Fotos_monedas\PUBLIC-1F1AC6.jpg
https://finds.org.uk/database/artefacts/record/id/923536,PUBLIC-1E8F1C,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC1E8F1CBronzeradiateTetricusII27585Pax.jpg,Fotos_monedas\PUBLIC-1E8F1C.jpg
https://finds.org.uk/database/artefacts/record/id/923383,PUBLIC-18E8CD,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC18E8CDHouseofConstantineVRBSROMA33035.jpg,Fotos_monedas\PUBLIC-18E8CD.jpg
https://finds.org.uk/database/artefacts/record/id/918932,BH-4D6353,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH4D6353.jpg,Fotos_monedas\BH-4D6353.jpg
https://finds.org.uk/database/artefacts/record/id/918614,BH-368397,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH368397.jpg,Fotos_monedas\BH-368397.jpg
https://finds.org.uk/database/artefacts/record/id/918499,PUBLIC-2555EA,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC2555EABarbarousradiatebronzecopyTetricusPax.jpg,Fotos_monedas\PUBLIC-2555EA.jpg
https://finds.org.uk/database/artefacts/record/id/917570,BH-91A391,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH91A391.jpg,Fotos_monedas\BH-91A391.jpg
https://finds.org.uk/database/artefacts/record/id/917096,PUBLIC-3D5738,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC3D5738ConstantineInummusGLORIAEXCERCITVS2Soldiers2standards.jpg,Fotos_monedas\PUBLIC-3D5738.jpg
https://finds.org.uk/database/artefacts/record/id/915055,BH-BE8AD1,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHBE8AD1.jpg,Fotos_monedas\BH-BE8AD1.jpg
https://finds.org.uk/database/artefacts/record/id/915039,BH-BDB309,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHBDB309.jpg,Fotos_monedas\BH-BDB309.jpg
https://finds.org.uk/database/artefacts/record/id/911546,HAMP-5BD2F4,Copper alloy,Struck or hammered,https://finds.org.uk/images/khindshamp/medium/HAMP5BD2F4.jpg,Fotos_monedas\HAMP-5BD2F4.jpg
https://finds.org.uk/database/artefacts/record/id/893157,BH-2B0002,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH2B0002.jpg,Fotos_monedas\BH-2B0002.jpg
https://finds.org.uk/database/artefacts/record/id/893153,BH-2AF099,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH2AF099.jpg,Fotos_monedas\BH-2AF099.jpg
https://finds.org.uk/database/artefacts/record/id/893145,BH-2AB03E,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH2AB03E.jpg,Fotos_monedas\BH-2AB03E.jpg
https://finds.org.uk/database/artefacts/record/id/893142,BH-2A8FBD,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH2A8FBD.jpg,Fotos_monedas\BH-2A8FBD.jpg
https://finds.org.uk/database/artefacts/record/id/893119,BH-29E6A4,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH29E6A4.jpg,Fotos_monedas\BH-29E6A4.jpg
https://finds.org.uk/database/artefacts/record/id/893106,BH-2980DA,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH2980DA.jpg,Fotos_monedas\BH-2980DA.jpg
https://finds.org.uk/database/artefacts/record/id/893074,BH-27A736,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH27A736.jpg,Fotos_monedas\BH-27A736.jpg
https://finds.org.uk/database/artefacts/record/id/893067,BH-279244,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH279244.jpg,Fotos_monedas\BH-279244.jpg
https://finds.org.uk/database/artefacts/record/id/893051,BH-275E82,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH275E82.jpg,Fotos_monedas\BH-275E82.jpg
https://finds.org.uk/database/artefacts/record/id/891876,BH-94554B,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH94554B.jpg,Fotos_monedas\BH-94554B.jpg
https://finds.org.uk/database/artefacts/record/id/891872,BH-941FF6,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH941FF6.jpg,Fotos_monedas\BH-941FF6.jpg
https://finds.org.uk/database/artefacts/record/id/891861,BH-93BB9F,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH93BB9F.jpg,Fotos_monedas\BH-93BB9F.jpg
https://finds.org.uk/database/artefacts/record/id/891856,BH-9391BE,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH9391BE.jpg,Fotos_monedas\BH-9391BE.jpg
https://finds.org.uk/database/artefacts/record/id/891854,BH-938104,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH938104.jpg,Fotos_monedas\BH-938104.jpg
https://finds.org.uk/database/artefacts/record/id/891852,BH-937552,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH937552.jpg,Fotos_monedas\BH-937552.jpg
https://finds.org.uk/database/artefacts/record/id/891846,BH-935F38,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH935F38.jpg,Fotos_monedas\BH-935F38.jpg
https://finds.org.uk/database/artefacts/record/id/890711,BH-EDDA9B,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHEDDA9B.jpg,Fotos_monedas\BH-EDDA9B.jpg
https://finds.org.uk/database/artefacts/record/id/890664,BH-EB911E,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHEB911E.jpg,Fotos_monedas\BH-EB911E.jpg
https://finds.org.uk/database/artefacts/record/id/890662,BH-EB74B3,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHEB74B3.jpg,Fotos_monedas\BH-EB74B3.jpg
https://finds.org.uk/database/artefacts/record/id/886898,BH-834AA3,Gold,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH834AA3.jpg,Fotos_monedas\BH-834AA3.jpg
https://finds.org.uk/database/artefacts/record/id/886739,BH-488887,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH488887.jpg,Fotos_monedas\BH-488887.jpg
https://finds.org.uk/database/artefacts/record/id/886733,BH-486DD2,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH486DD2.jpg,Fotos_monedas\BH-486DD2.jpg
https://finds.org.uk/database/artefacts/record/id/886730,BH-48544F,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH48544F.jpg,Fotos_monedas\BH-48544F.jpg
https://finds.org.uk/database/artefacts/record/id/886721,BH-482C3A,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH482C3A.jpg,Fotos_monedas\BH-482C3A.jpg
https://finds.org.uk/database/artefacts/record/id/886687,BH-4763CA,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH4763CA.jpg,Fotos_monedas\BH-4763CA.jpg
https://finds.org.uk/database/artefacts/record/id/886683,BH-475181,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH475181.jpg,Fotos_monedas\BH-475181.jpg
https://finds.org.uk/database/artefacts/record/id/886678,BH-473EC2,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH473EC2.jpg,Fotos_monedas\BH-473EC2.jpg
https://finds.org.uk/database/artefacts/record/id/886673,BH-471CC8,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH471CC8.jpg,Fotos_monedas\BH-471CC8.jpg
https://finds.org.uk/database/artefacts/record/id/886671,BH-470F44,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH470F44.jpg,Fotos_monedas\BH-470F44.jpg
https://finds.org.uk/database/artefacts/record/id/886664,BH-46EC37,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH46EC37.jpg,Fotos_monedas\BH-46EC37.jpg
